timestamp,airspeed,armed,attitude.pitch,attitude.roll,attitude.yaw,battery.current,battery.level,battery.voltage,commands.count,commands.next,ekf_ok,gimbal.pitch,gimbal.roll,gimbal.yaw,gps_0.eph,gps_0.epv,gps_0.fix_type,gps_0.satellites_visible,groundspeed,heading,home_location.alt,home_location.global_frame,home_location.lat,home_location.local_frame,home_location.lon,is_armable,last_heartbeat,location.global_frame.alt,location.global_frame.global_frame,location.global_frame.lat,location.global_frame.local_frame,location.global_frame.lon,location.global_relative_frame.alt,location.global_relative_frame.global_frame,location.global_relative_frame.lat,location.global_relative_frame.local_frame,location.global_relative_frame.lon,location.local_frame.down,location.local_frame.east,location.local_frame.north,ml_verdict,mode.name,mount_status[0],mount_status[1],mount_status[2],rangefinder.distance,rangefinder.voltage,system_status.state,timedelta,velocity[0],velocity[1],velocity[2],version.autopilot_type,version.major,version.minor,version.patch,version.raw_version,version.release,version.vehicle_type
1732730639.5450017,0.0,True,-0.08324010670185089,0.026200028136372566,3.0988645553588867,1.13,37,14.994,0,0,False,,,,56,75,4,23,0.04951631650328636,177,80.427,,39.1423656,,-76.7305005,False,0.03028692600037175,80.862,,39.1423646,,-76.7304984,0.089,,39.1423646,,-76.7304984,9.183906555175781,5.073575973510742,-28.457311630249023,value_here,POSCTL,,,,11,,ACTIVE,1732730424.1583748,-0.04,0.02,-0.07,12,1,15,2,17760768,0,13
1732730639.6410527,0.0,True,-0.08329496532678604,0.026549000293016434,3.098775625228882,1.13,37,14.994,0,0,False,,,,56,75,4,23,0.04951631650328636,177,80.427,,39.1423656,,-76.7305005,False,0.09336231500037684,80.87,,39.1423646,,-76.7304984,0.096,,39.1423646,,-76.7304984,9.16994857788086,5.075767517089844,-28.458322525024414,value_here,POSCTL,,,,11,,ACTIVE,215.48267793655396,-0.03,0.01,-0.07,12,1,15,2,17760768,0,13
1732730639.7414064,0.0,True,-0.08325330913066864,0.0266730934381485,3.0984935760498047,1.13,37,14.994,0,0,False,,,,56,75,4,24,0.048725761473178864,177,80.427,,39.1423656,,-76.7305005,False,0.21247331500035216,80.887,,39.1423646,,-76.7304984,0.113,,39.1423646,,-76.7304984,9.156129837036133,5.077960968017578,-28.45938491821289,value_here,POSCTL,,,,11,,ACTIVE,1732730424.2587285,-0.04,0.02,-0.07,12,1,15,2,17760768,0,13
1732730639.8412435,0.0,True,-0.08372471481561661,0.027066506445407867,3.0987532138824463,1.13,37,14.994,0,0,False,,,,56,75,4,23,0.048725761473178864,177,80.427,,39.1423656,,-76.7305005,False,0.31637881500046205,80.897,,39.1423646,,-76.7304983,0.123,,39.1423646,,-76.7304983,9.139769554138184,5.079963207244873,-28.46207046508789,value_here,POSCTL,,,,11,,ACTIVE,215.582515001297,-0.04,0.01,-0.07,12,1,15,2,17760768,0,13
1732730639.9416137,0.0,True,-0.08357778191566467,0.027294905856251717,3.098539113998413,1.13,37,14.994,0,0,False,,,,56,75,4,23,0.048725761473178864,177,80.427,,39.1423656,,-76.7305005,False,0.41885857400029636,80.913,,39.1423646,,-76.7304983,0.14,,39.1423646,,-76.7304983,9.126068115234375,5.080838680267334,-28.46430778503418,value_here,POSCTL,,,,11,,ACTIVE,1732730424.3590987,-0.04,0.01,-0.08,12,1,15,2,17760768,0,13
1732730640.0418568,0.0,True,-0.0836113840341568,0.02750403806567192,3.0987753868103027,1.17,37,14.993,0,0,False,,,,56,75,4,23,0.05511447414755821,177,80.427,,39.1423656,,-76.7305005,False,0.5265492400003495,80.923,,39.1423645,,-76.7304983,0.149,,39.1423645,,-76.7304983,9.109657287597656,5.082250595092773,-28.467201232910156,value_here,POSCTL,,,,11,,ACTIVE,215.68275809288025,-0.05,0.01,-0.09,12,1,15,2,17760768,0,13
1732730640.1418386,0.0,True,-0.08391357958316803,0.0280498955398798,3.098778247833252,1.17,37,14.993,0,0,False,,,,56,75,4,23,0.05511447414755821,177,80.427,,39.1423656,,-76.7305005,False,0.6277997590004816,80.944,,39.1423645,,-76.7304983,0.171,,39.1423645,,-76.7304983,9.092385292053223,5.083390712738037,-28.470598220825195,value_here,POSCTL,,,,11,,ACTIVE,1732730424.4590805,-0.05,0.0,-0.08,12,1,15,2,17760768,0,13
1732730640.2422607,0.0,True,-0.08387965708971024,0.028339017182588577,3.0987071990966797,1.17,37,14.993,0,0,False,,,,56,75,4,24,0.05511447414755821,177,80.427,,39.1423656,,-76.7305005,False,0.7275269440006014,80.952,,39.1423645,,-76.7304983,0.179,,39.1423645,,-76.7304983,9.078899383544922,5.083773136138916,-28.47528648376465,value_here,POSCTL,,,,11,,ACTIVE,215.7831802368164,-0.05,0.0,-0.08,12,1,15,2,17760768,0,13
1732730640.3422892,0.0,True,-0.08388427644968033,0.02855774387717247,3.0986599922180176,1.17,37,14.993,0,0,False,,,,56,75,4,23,0.05511447414755821,177,80.427,,39.1423656,,-76.7305005,False,0.8248651109997809,80.96,,39.1423645,,-76.7304983,0.187,,39.1423645,,-76.7304983,9.078899383544922,5.083773136138916,-28.47528648376465,value_here,POSCTL,,,,11,,ACTIVE,1732730424.559109,-0.05,0.0,-0.08,12,1,15,2,17760768,0,13
1732730640.4424384,0.0,True,-0.08306419849395752,0.028818098828196526,3.09885573387146,1.17,37,14.993,0,0,False,,,,56,75,4,23,0.05803637579083443,177,80.427,,39.1423656,,-76.7305005,False,0.9177269990004788,80.976,,39.1423644,,-76.7304983,0.203,,39.1423644,,-76.7304983,9.064961433410645,5.084278106689453,-28.477285385131836,value_here,POSCTL,,,,11,,ACTIVE,215.8833293914795,-0.05,-0.01,-0.07,12,1,15,2,17760768,0,13
1732730640.5425828,0.0,True,-0.08113009482622147,0.029352951794862747,3.0992095470428467,1.17,37,14.993,0,0,False,,,,56,75,4,24,0.05803637579083443,177,80.427,,39.1423656,,-76.7305005,False,0.027696296000613074,80.983,,39.1423644,,-76.7304983,0.21,,39.1423644,,-76.7304983,9.052876472473145,5.083275318145752,-28.47896957397461,value_here,POSCTL,,,,11,,ACTIVE,1732730424.6592534,-0.04,-0.02,-0.07,12,1,15,2,17760768,0,13
1732730640.64291,0.0,True,-0.07949738949537277,0.029421065002679825,3.0992300510406494,1.17,37,14.993,0,0,False,,,,56,75,4,24,0.05803637579083443,177,80.427,,39.1423656,,-76.7305005,False,0.1237494440001683,80.999,,39.1423644,,-76.7304983,0.226,,39.1423644,,-76.7304983,9.039806365966797,5.081506252288818,-28.480052947998047,value_here,POSCTL,,,,11,,ACTIVE,215.98365664482117,-0.04,-0.02,-0.07,12,1,15,2,17760768,0,13
