timestamp,airspeed,armed,attack_type,attitude.pitch,attitude.roll,attitude.yaw,battery.current,battery.level,battery.voltage,commands.count,commands.next,companion_computer.cpu_temp,companion_computer.cpu_usage,companion_computer.ram_usage,ekf_ok,gimbal.pitch,gimbal.roll,gimbal.yaw,gps_0.eph,gps_0.epv,gps_0.fix_type,gps_0.satellites_visible,groundspeed,heading,home_location.alt,home_location.global_frame,home_location.lat,home_location.local_frame,home_location.lon,is_armable,last_heartbeat,location.global_frame.alt,location.global_frame.global_frame,location.global_frame.lat,location.global_frame.local_frame,location.global_frame.lon,location.global_relative_frame.alt,location.global_relative_frame.global_frame,location.global_relative_frame.lat,location.global_relative_frame.local_frame,location.global_relative_frame.lon,location.local_frame.down,location.local_frame.east,location.local_frame.north,ml_verdict,mode.name,mount_status[0],mount_status[1],mount_status[2],rangefinder.distance,rangefinder.voltage,system_status.state,timedelta,velocity[0],velocity[1],velocity[2],version.autopilot_type,version.major,version.minor,version.patch,version.raw_version,version.release,version.vehicle_type
1733838451.7075672,0.0,True,benign,0.00046174097224138677,0.002813073107972741,0.18866878747940063,-1.0,51,15.3,0,4,,31.9,84.4,False,,,,0,0,3,10,0.031950149685144424,10,28.492,,39.9526378,,-113.4759759,False,0.625,30.999,,39.9526379,,-113.4759755,2.506,,39.9526379,,-113.4759755,-2.506838083267212,0.03037756122648716,-0.002507160883396864,unknown,LOITER,,,,255,,ACTIVE,0,-0.01,-0.02,0.0,12,1,15,0,17760384,128,2
1733838452.730834,0.0,True,benign,-0.0008446698193438351,0.0028819029685109854,0.18840420246124268,-1.0,51,15.3,0,4,,26.0,84.3,False,,,,0,0,3,10,0.02817520499229431,10,28.492,,39.9526378,,-113.4759759,False,0.5309999999881256,30.998,,39.9526378,,-113.4759756,2.505,,39.9526378,,-113.4759756,-2.505615711212158,0.02423916384577751,-0.01637921668589115,unknown,LOITER,,,,255,,ACTIVE,1733838452.730834,0.0,-0.02,0.0,12,1,15,0,17760384,128,2
1733838452.8308349,0.0,True,benign,-0.0006739239324815571,0.0029500583186745644,0.1883518397808075,-1.0,51,15.3,0,4,,31.9,84.3,False,,,,0,0,3,10,0.02693314105272293,10,28.492,,39.9526378,,-113.4759759,False,0.625,30.998,,39.9526378,,-113.4759756,2.505,,39.9526378,,-113.4759756,-2.505479574203491,0.02316586673259735,-0.017133276909589767,unknown,LOITER,,,,255,,ACTIVE,0.10000085830688477,0.0,-0.02,0.0,12,1,15,0,17760384,128,2
1733838452.9398468,0.0,True,benign,-0.0009146726806648076,0.0031056671869009733,0.18793845176696777,-1.0,51,15.3,0,4,,27.1,84.3,False,,,,0,0,3,10,0.027279000729322433,10,28.492,,39.9526378,,-113.4759759,False,0.7339999999967404,30.997,,39.9526378,,-113.4759756,2.505,,39.9526378,,-113.4759756,-2.5052762031555176,0.021894972771406174,-0.017959794029593468,unknown,LOITER,,,,255,,ACTIVE,1733838452.839846,0.0,-0.02,0.0,12,1,15,0,17760384,128,2
1733838453.0468342,0.0,True,benign,-0.0012312503531575203,0.00333232618868351,0.18828533589839935,-1.0,51,15.3,0,4,,19.0,84.3,False,,,,0,0,3,10,0.027817554771900177,10,28.492,,39.9526378,,-113.4759759,False,0.8429999999934807,30.997,,39.9526378,,-113.4759756,2.504,,39.9526378,,-113.4759756,-2.5049450397491455,0.020747346803545952,-0.01867685839533806,unknown,LOITER,,,,255,,ACTIVE,0.20698833465576172,0.0,-0.02,0.0,12,1,15,0,17760384,128,2
1733838453.1558585,0.0,True,benign,-0.0013491392601281404,0.003565826453268528,0.18851712346076965,-1.0,51,15.3,0,4,,21.4,84.3,False,,,,0,0,3,10,0.027930404990911484,10,28.492,,39.9526378,,-113.4759759,False,0.9530000000086147,30.997,,39.9526378,,-113.4759756,2.504,,39.9526378,,-113.4759756,-2.5046234130859375,0.019052468240261078,-0.019838156178593636,unknown,LOITER,,,,255,,ACTIVE,1733838452.9488702,0.0,-0.02,0.0,12,1,15,0,17760384,128,2
1733838453.2648497,0.0,True,benign,-0.001217729295603931,0.00381028582341969,0.18859416246414185,-1.0,51,15.3,0,4,,27.4,84.4,False,,,,0,0,3,10,0.02710307203233242,10,28.492,,39.9526378,,-113.4759759,False,0.062000000005355105,30.997,,39.9526378,,-113.4759756,2.504,,39.9526378,,-113.4759756,-2.504624843597412,0.017716139554977417,-0.02082109823822975,unknown,LOITER,,,,255,,ACTIVE,0.3159794807434082,0.0,-0.02,0.0,12,1,15,0,17760384,128,2
1733838453.373834,0.0,True,benign,-0.0012101720785722136,0.004064247012138367,0.1885930448770523,-1.0,51,15.3,0,4,,24.7,84.4,False,,,,0,0,3,10,0.026633640751242638,10,28.492,,39.9526378,,-113.4759759,False,0.030999999988125637,30.997,,39.9526378,,-113.4759757,2.504,,39.9526378,,-113.4759757,-2.5046308040618896,0.01631196029484272,-0.021986544132232666,unknown,LOITER,,,,255,,ACTIVE,1733838453.0578544,0.0,-0.02,0.0,12,1,15,0,17760384,128,2
1733838453.4788353,0.0,True,benign,-0.0011903870617970824,0.004141233861446381,0.18864794075489044,-1.0,51,15.3,0,4,,17.9,84.4,False,,,,0,0,3,10,0.025714898481965065,10,28.492,,39.9526378,,-113.4759759,False,0.125,30.997,,39.9526377,,-113.4759757,2.504,,39.9526377,,-113.4759757,-2.5046274662017822,0.015055918134748936,-0.022898340597748756,unknown,LOITER,,,,255,,ACTIVE,0.42098093032836914,0.0,-0.02,0.0,12,1,15,0,17760384,128,2
1733838453.5869522,0.0,True,benign,-0.0014469067100435495,0.004007580224424601,0.1885736584663391,-1.0,51,15.3,0,4,,25.9,84.4,False,,,,0,0,3,10,0.02443728968501091,10,28.492,,39.9526378,,-113.4759759,False,0.25,30.997,,39.9526377,,-113.4759757,2.504,,39.9526377,,-113.4759757,-2.504594564437866,0.013986164703965187,-0.023757295683026314,unknown,LOITER,,,,255,,ACTIVE,1733838453.1659713,0.0,-0.02,0.0,12,1,15,0,17760384,128,2
