timestamp,airspeed,armed,attitude.pitch,attitude.roll,attitude.yaw,battery.current,battery.level,battery.voltage,commands.count,commands.next,ekf_ok,gimbal.pitch,gimbal.roll,gimbal.yaw,gps_0.eph,gps_0.epv,gps_0.fix_type,gps_0.satellites_visible,groundspeed,heading,home_location.alt,home_location.global_frame,home_location.lat,home_location.local_frame,home_location.lon,is_armable,last_heartbeat,location.global_frame.alt,location.global_frame.global_frame,location.global_frame.lat,location.global_frame.local_frame,location.global_frame.lon,location.global_relative_frame.alt,location.global_relative_frame.global_frame,location.global_relative_frame.lat,location.global_relative_frame.local_frame,location.global_relative_frame.lon,location.local_frame.down,location.local_frame.east,location.local_frame.north,ml_verdict,mode.name,mount_status[0],mount_status[1],mount_status[2],rangefinder.distance,rangefinder.voltage,system_status.state,timedelta,velocity[0],velocity[1],velocity[2],version.autopilot_type,version.major,version.minor,version.patch,version.raw_version,version.release,version.vehicle_type
1733397470.24754,0.0,True,-0.03707557171583176,0.0045343912206590176,1.0609968900680542,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.009953022003174,60,28.501,,39.9526379,,-113.4759758,False,0.46730256199953146,78.482,,39.9531812,,-113.4762756,49.98,,39.9531812,,-113.4762756,-49.9825553894043,-25.54059410095215,60.402748107910156,unknown,MISSION,,,,,,ACTIVE,0,2.44,4.37,0.0,12,1,15,0,17760384,128,2
1733397471.2575905,0.0,True,-0.03716891631484032,0.005520006641745567,1.062184453010559,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.000340938568115,60,28.501,,39.9526379,,-113.4759758,False,0.3417942169980961,78.481,,39.9532011,,-113.4762297,49.979,,39.9532011,,-113.4762297,-49.98162841796875,-21.59086036682129,62.64209747314453,unknown,MISSION,,,,,,ACTIVE,1733397471.2575905,2.41,4.37,0.0,12,1,15,0,17760384,128,2
1733397471.3593504,0.0,True,-0.03598920628428459,0.0047417301684618,1.0623174905776978,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.003543376922607,60,28.501,,39.9526379,,-113.4759758,False,0.44666912599495845,78.481,,39.9532034,,-113.4762243,49.98,,39.9532034,,-113.4762243,-49.982398986816406,-21.169771194458008,62.87799835205078,unknown,MISSION,,,,,,ACTIVE,0.1017599105834961,2.41,4.38,0.0,12,1,15,0,17760384,128,2
1733397471.4601436,0.0,True,-0.035071320831775665,0.004290435928851366,1.0625303983688354,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.004053592681885,60,28.501,,39.9526379,,-113.4759758,False,0.5475736250009504,78.482,,39.9532052,,-113.4762202,49.981,,39.9532052,,-113.4762202,-49.98312759399414,-20.818471908569336,63.07405090332031,unknown,MISSION,,,,,,ACTIVE,1733397471.3583837,2.41,4.38,0.0,12,1,15,0,17760384,128,2
1733397471.5629733,0.0,True,-0.033732783049345016,0.004131680354475975,1.0620665550231934,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.008927822113037,60,28.501,,39.9526379,,-113.4759758,False,0.649196206999477,78.483,,39.9532073,,-113.4762152,49.982,,39.9532073,,-113.4762152,-49.98397445678711,-20.396617889404297,63.3090705871582,unknown,MISSION,,,,,,ACTIVE,0.2045896053314209,2.41,4.38,0.0,12,1,15,0,17760384,128,2
1733397471.6625285,0.0,True,-0.032923828810453415,0.003988052252680063,1.0622875690460205,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.014550685882568,60,28.501,,39.9526379,,-113.4759758,False,0.7475795229984215,78.484,,39.9532091,,-113.4762111,49.983,,39.9532091,,-113.4762111,-49.98488998413086,-19.974456787109375,63.54387664794922,unknown,MISSION,,,,,,ACTIVE,1733397471.457939,2.41,4.39,0.0,12,1,15,0,17760384,128,2
1733397471.762536,0.0,True,-0.031524863094091415,0.003751264652237296,1.0620899200439453,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.0154290199279785,60,28.501,,39.9526379,,-113.4759758,False,0.8486814339994453,78.485,,39.9532113,,-113.4762057,49.983,,39.9532113,,-113.4762057,-49.985626220703125,-19.58707046508789,63.7586784362793,unknown,MISSION,,,,,,ACTIVE,0.3045971393585205,2.41,4.39,0.0,12,1,15,0,17760384,128,2
1733397471.864238,0.0,True,-0.031561147421598434,0.0030102250166237354,1.0618972778320312,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.0140275955200195,60,28.501,,39.9526379,,-113.4759758,False,0.951210049999645,78.485,,39.9532134,,-113.4762008,49.984,,39.9532134,,-113.4762008,-49.98622131347656,-19.164165496826172,63.99214172363281,unknown,MISSION,,,,,,ACTIVE,1733397471.559641,2.41,4.39,0.0,12,1,15,0,17760384,128,2
1733397471.967783,0.0,True,-0.031614743173122406,0.0018181974301114678,1.0619288682937622,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.011021137237549,60,28.501,,39.9526379,,-113.4759758,False,0.034371912995993625,78.486,,39.9532152,,-113.4761966,49.985,,39.9532152,,-113.4761966,-49.986759185791016,-18.811725616455078,64.18605041503906,unknown,MISSION,,,,,,ACTIVE,0.40814208984375,2.4,4.39,0.0,12,1,15,0,17760384,128,2
1733397472.0716333,0.0,True,-0.03110920637845993,0.0010761574376374483,1.06206214427948,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.010862827301025,60,28.501,,39.9526379,,-113.4759758,False,0.04113275200506905,78.486,,39.9532175,,-113.4761913,49.985,,39.9532175,,-113.4761913,-49.98748016357422,-18.35358428955078,64.43807220458984,unknown,MISSION,,,,,,ACTIVE,1733397471.6634912,2.4,4.39,0.0,12,1,15,0,17760384,128,2
1733397472.166818,0.0,True,-0.03056928515434265,0.0006475987611338496,1.0617692470550537,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.0123701095581055,60,28.501,,39.9526379,,-113.4759758,False,0.13466218100074911,78.487,,39.9532192,,-113.4761871,49.986,,39.9532192,,-113.4761871,-49.98788070678711,-18.001169204711914,64.63192749023438,unknown,MISSION,,,,,,ACTIVE,0.5033266544342041,2.4,4.39,0.0,12,1,15,0,17760384,128,2
1733397472.2683315,0.0,True,-0.030156834051012993,0.00011390131840016693,1.0617085695266724,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.009477138519287,60,28.501,,39.9526379,,-113.4759758,False,0.23792108300403925,78.487,,39.9532213,,-113.4761822,49.986,,39.9532213,,-113.4761822,-49.988365173339844,-17.57839012145996,64.86407470703125,unknown,MISSION,,,,,,ACTIVE,1733397471.7650049,2.4,4.39,0.0,12,1,15,0,17760384,128,2
1733397472.370503,0.0,True,-0.03021201305091381,-0.0005999943823553622,1.061340093612671,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.003907680511475,60,28.501,,39.9526379,,-113.4759758,False,0.3389049800025532,78.488,,39.953223,,-113.476178,49.987,,39.953223,,-113.476178,-49.98888397216797,-17.19110107421875,65.07628631591797,unknown,MISSION,,,,,,ACTIVE,0.6054980754852295,2.4,4.38,0.0,12,1,15,0,17760384,128,2
1733397472.4706428,0.0,True,-0.030777063220739365,-0.0013070424320176244,1.061152458190918,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.003907680511475,60,28.501,,39.9526379,,-113.4759758,False,0.4384070980013348,78.488,,39.9532253,,-113.4761727,49.987,,39.9532253,,-113.4761727,-49.98916244506836,-16.768972396850586,65.30725860595703,unknown,MISSION,,,,,,ACTIVE,1733397471.8651447,2.4,4.38,0.0,12,1,15,0,17760384,128,2
1733397472.5708194,0.0,True,-0.03121272101998329,-0.002238414017483592,1.060804843902588,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.0001444816589355,60,28.501,,39.9526379,,-113.4759758,False,0.539217074001499,78.488,,39.953227,,-113.4761686,49.987,,39.953227,,-113.4761686,-49.98931884765625,-16.417266845703125,65.49945831298828,unknown,MISSION,,,,,,ACTIVE,0.7056746482849121,2.4,4.38,0.0,12,1,15,0,17760384,128,2
1733397472.6727157,0.0,True,-0.0306913610547781,-0.0030321183148771524,1.0606999397277832,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.001463413238525,60,28.501,,39.9526379,,-113.4759758,False,0.6411985540034948,78.488,,39.9532291,,-113.4761636,49.987,,39.9532291,,-113.4761636,-49.989471435546875,-15.994792938232422,65.73021697998047,unknown,MISSION,,,,,,ACTIVE,1733397471.967041,2.4,4.38,0.0,12,1,15,0,17760384,128,2
1733397472.7711334,0.0,True,-0.029607387259602547,-0.003528621280565858,1.0605453252792358,-1.0,51,15.3,0,2,False,,,,0,0,3,10,5.008749961853027,60,28.501,,39.9526379,,-113.4759758,False,0.7396135439994396,78.489,,39.9532308,,-113.4761595,49.987,,39.9532308,,-113.4761595,-49.989532470703125,-15.572236061096191,65.9615478515625,unknown,MISSION,,,,,,ACTIVE,0.8040924072265625,2.4,4.39,0.0,12,1,15,0,17760384,128,2
